,nome_infraestrutura,resumo_infraestrutura,data,tipo_de_infraestrutura,medida
95,ARADE,191.0,2014-04-01,bacia,metro_cubico
96,ARADE,184.7,2014-05-01,bacia,metro_cubico
97,ARADE,176.4,2014-06-01,bacia,metro_cubico
98,ARADE,166.8,2014-07-01,bacia,metro_cubico
99,ARADE,156.7,2014-08-01,bacia,metro_cubico
100,ARADE,150.8,2014-09-01,bacia,metro_cubico
101,ARADE,82.7,2012-10-01,bacia,metro_cubico
102,ARADE,107.7,2012-11-01,bacia,metro_cubico
103,ARADE,115.1,2012-12-01,bacia,metro_cubico
104,ARADE,137.8,2013-01-01,bacia,metro_cubico
105,ARADE,141.9,2013-02-01,bacia,metro_cubico
106,ARADE,181.7,2013-03-01,bacia,metro_cubico
107,ARADE,187.3,2013-04-01,bacia,metro_cubico
108,ARADE,183.4,2013-05-01,bacia,metro_cubico
109,ARADE,174.9,2013-06-01,bacia,metro_cubico
110,ARADE,166.4,2013-07-01,bacia,metro_cubico
111,ARADE,155.4,2013-08-01,bacia,metro_cubico
112,ARADE,149.2,2013-09-01,bacia,metro_cubico
113,ARADE,25.4,2011-10-01,bacia,metro_cubico
114,ARADE,28.2,2011-11-01,bacia,metro_cubico
115,ARADE,25.9,2011-12-01,bacia,metro_cubico
116,ARADE,24.5,2012-01-01,bacia,metro_cubico
117,ARADE,21.9,2012-02-01,bacia,metro_cubico
118,ARADE,18.9,2012-03-01,bacia,metro_cubico
119,ARADE,16.0,2012-04-01,bacia,metro_cubico
120,ARADE,13.4,2012-05-01,bacia,metro_cubico
121,ARADE,11.8,2012-06-01,bacia,metro_cubico
122,ARADE,9.7,2012-07-01,bacia,metro_cubico
123,ARADE,9.6,2012-08-01,bacia,metro_cubico
124,ARADE,8.7,2012-09-01,bacia,metro_cubico
125,ARADE,26.7,2010-10-01,bacia,metro_cubico
126,ARADE,25.4,2010-11-01,bacia,metro_cubico
127,ARADE,43.9,2010-12-01,bacia,metro_cubico
128,ARADE,54.4,2011-01-01,bacia,metro_cubico
129,ARADE,55.1,2011-02-01,bacia,metro_cubico
130,ARADE,55.8,2011-03-01,bacia,metro_cubico
131,ARADE,56.8,2011-04-01,bacia,metro_cubico
132,ARADE,55.9,2011-05-01,bacia,metro_cubico
133,ARADE,50.0,2011-06-01,bacia,metro_cubico
134,ARADE,42.4,2011-07-01,bacia,metro_cubico
135,ARADE,34.6,2011-08-01,bacia,metro_cubico
136,ARADE,29.3,2011-09-01,bacia,metro_cubico
137,ARADE,12.1,2009-10-01,bacia,metro_cubico
138,ARADE,10.7,2009-11-01,bacia,metro_cubico
139,ARADE,46.9,2009-12-01,bacia,metro_cubico
140,ARADE,55.0,2010-01-01,bacia,metro_cubico
141,ARADE,56.8,2010-02-01,bacia,metro_cubico
142,ARADE,56.1,2010-03-01,bacia,metro_cubico
143,ARADE,57.9,2010-04-01,bacia,metro_cubico
144,ARADE,54.2,2010-05-01,bacia,metro_cubico
145,ARADE,48.6,2010-06-01,bacia,metro_cubico
146,ARADE,41.5,2010-07-01,bacia,metro_cubico
147,ARADE,34.1,2010-08-01,bacia,metro_cubico
148,ARADE,29.3,2010-09-01,bacia,metro_cubico
149,ARADE,23.4,2008-10-01,bacia,metro_cubico
